☐︎	☐️	0x2610	BALLOT BOX
☑︎	☑️	0x2611	BALLOT BOX WITH CHECK
☒︎	☒️	0x2612	BALLOT BOX WITH X
✓︎	✓️	0x2713	CHECK MARK
✔︎	✔️	0x2714	HEAVY CHECK MARK
︎︎	︎️	0xfe0e	VARIATION SELECTOR-15
✘︎	✘️	0x2718	HEAVY BALLOT X
----	----	----
◆︎	◆️	0x25c6	BLACK DIAMOND
▶︎	▶️	0x25b6	BLACK RIGHT-POINTING TRIANGLE
︎︎	︎️	0xfe0e	VARIATION SELECTOR-15
▷︎	▷️	0x25b7	WHITE RIGHT-POINTING TRIANGLE
‣︎	‣️	0x2023	TRIANGULAR BULLET
☞︎	☞️	0x261e	WHITE RIGHT POINTING INDEX
☛︎	☛️	0x261b	BLACK RIGHT POINTING INDEX
➢︎	➢️	0x27a2	THREE-D TOP-LIGHTED RIGHTWARDS ARROWHEAD
➤︎	➤️	0x27a4	BLACK RIGHTWARDS ARROWHEAD
✦︎	✦️	0x2726	BLACK FOUR POINTED STAR
✧︎	✧️	0x2727	WHITE FOUR POINTED STAR
❊︎	❊️	0x274a	EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
✿︎	✿️	0x273f	BLACK FLORETTE
❀︎	❀️	0x2740	WHITE FLORETTE
❍︎	❍️	0x274d	SHADOWED WHITE CIRCLE
❏︎	❏️	0x274f	LOWER RIGHT DROP-SHADOWED WHITE SQUARE
----	----	----
⚀︎	⚀️	0x2680	DIE FACE-1
⚁︎	⚁️	0x2681	DIE FACE-2
⚂︎	⚂️	0x2682	DIE FACE-3
⚃︎	⚃️	0x2683	DIE FACE-4
⚄︎	⚄️	0x2684	DIE FACE-5
⚅︎	⚅️	0x2685	DIE FACE-6
----	----	----
✍︎	✍️	0x270d	WRITING HAND
︎︎	︎️	0xfe0e	VARIATION SELECTOR-15
✎︎	✎️	0x270e	LOWER RIGHT PENCIL
✁︎	✁️	0x2701	UPPER BLADE SCISSORS
✂︎	✂️	0x2702	BLACK SCISSORS
︎︎	︎️	0xfe0e	VARIATION SELECTOR-15
✃︎	✃️	0x2703	LOWER BLADE SCISSORS
----	----	----
⚚︎	⚚️	0x269a	STAFF OF HERMES
☤︎	☤️	0x2624	CADUCEUS
⚕︎	⚕️	0x2695	STAFF OF AESCULAPIUS
︎︎	︎️	0xfe0e	VARIATION SELECTOR-15
⚙︎	⚙️	0x2699	GEAR
︎︎	︎️	0xfe0e	VARIATION SELECTOR-15
☘︎	☘️	0x2618	SHAMROCK
︎︎	︎️	0xfe0e	VARIATION SELECTOR-15
⚛︎	⚛️	0x269b	ATOM SYMBOL
︎︎	︎️	0xfe0e	VARIATION SELECTOR-15
⚑︎	⚑️	0x2691	BLACK FLAG
⚐︎	⚐️	0x2690	WHITE FLAG
----	----	----
☗︎	☗️	0x2617	BLACK SHOGI PIECE
☖︎	☖️	0x2616	WHITE SHOGI PIECE
----	----	----
±︎	±️	0xb1	PLUS-MINUS SIGN
∓︎	∓️	0x2213	MINUS-OR-PLUS SIGN
∩︎	∩️	0x2229	INTERSECTION
